month,curr,total_clicks
2025-09,Charlie_Kirk,39369938
2025-09,Assassination_of_Charlie_Kirk,8051489
2025-09,Erika_Kirk,7561657
2025-09,Google_Chrome,6363148
2025-09,Robert_Redford,5458131
2025-09,Killing_of_Iryna_Zarutska,4619730
2025-09,ChatGPT,4344248
2025-09,Deaths_in_2025,4295460
2025-09,Fuck,3833284
2025-09,D4vd,2848590
2025-09,Groypers,2758371
2025-09,Lokah_Chapter_1:_Chandra,2652355
2025-09,XXX_(2002_film),2573724
2025-09,Turning_Point_USA,2532063
2025-09,One_Battle_After_Another,2522322
2025-09,Charlie_Sheen,2383571
2025-09,Ed_Gein,2163392
2025-09,1989_Tiananmen_Square_protests_and_massacre,2015868
2025-09,The_Conjuring:_Last_Rites,1969200
2025-09,Donald_Trump,1952980
2025-09,Ricky_Hatton,1937263
2025-09,Nick_Fuentes,1930178
2025-09,1xBet,1882040
2025-09,Weapons_(2025_film),1850809
2025-09,Alien:_Earth,1849316
2025-09,Wednesday_(TV_series),1848400
2025-09,Terence_Crawford,1815137
2025-09,Kash_Patel,1814034
2025-09,Carlo_Acutis,1775155
2025-09,Zubeen_Garg,1746483
2025-09,The_Long_Walk_(2025_film),1629422
2025-09,KPop_Demon_Hunters,1615784
2025-09,The_Summer_I_Turned_Pretty_(TV_series),1602483
2025-09,6-7_(meme),1557962
2025-09,Jimmy_Kimmel,1540012
2025-09,"Katharine,_Duchess_of_Kent",1480401
2025-09,Canelo_Álvarez,1478184
2025-09,.xxx,1476724
2025-09,September_11_attacks,1475914
2025-09,Wrestlepalooza_(2025),1455552
2025-09,Him_(2025_film),1403461
2025-09,The_Ba***ds_of_Bollywood,1396311
2025-09,Martin_Sheen,1391872
2025-09,"Neatsville,_Kentucky",1389699
2025-09,Giorgio_Armani,1374606
2025-09,Melissa_Hortman,1371831
2025-09,Demon_Slayer:_Kimetsu_no_Yaiba_–_The_Movie:_Infinity_Castle,1358637
2025-09,They_Call_Him_OG,1354138
2025-09,Jeffrey_Epstein,1352462
2025-09,2026_FIFA_World_Cup,1346116
2025-10,Ed_Gein,25277136
2025-10,Google_Chrome,12041469
2025-10,Diane_Keaton,8750589
2025-10,Kantara:_Chapter_1,6181393
2025-10,1989_Tiananmen_Square_protests_and_massacre,4832349
2025-10,Monster:_The_Ed_Gein_Story,4592168
2025-10,Deaths_in_2025,4458928
2025-10,Fuck,4232082
2025-10,ChatGPT,4212996
2025-10,6-7_(meme),4007887
2025-10,Ian_Watkins_(Lostprophets_singer),3234110
2025-10,Ilse_Koch,3223661
2025-10,XXX_(2002_film),2980939
2025-10,Jane_Goodall,2948304
2025-10,.xxx,2860831
2025-10,Government_shutdowns_in_the_United_States,2719622
2025-10,Richard_Speck,2704888
2025-10,One_Battle_After_Another,2562448
2025-10,Shohei_Ohtani,2298973
2025-10,Anthony_Perkins,2290549
2025-10,D'Angelo,1994945
2025-10,Zohran_Mamdani,1989803
2025-10,Charlie_Hunnam,1912078
2025-10,The_Life_of_a_Showgirl,1906218
2025-10,Ace_Frehley,1803315
2025-10,Mae_Martin,1742042
2025-10,Tron:_Ares,1739571
2025-10,Diwali,1710107
2025-10,Virginia_Giuffre,1705610
2025-10,2026_FIFA_World_Cup_qualification,1693622
2025-10,A_House_of_Dynamite,1691164
2025-10,XXX_(film_series),1653455
2025-10,Lizzie_Borden,1649602
2025-10,Bad_Bunny,1611779
2025-10,John_Wayne_Gacy,1559022
2025-10,Donald_Trump,1537328
2025-10,KPop_Demon_Hunters,1534166
2025-10,Charlie_Kirk,1531009
2025-10,YouTube,1521159
2025-10,Killing_of_Ajike_Owens,1515544
2025-10,Psycho_(1960_film),1467923
2025-10,Dennis_Rader,1461694
2025-10,1xBet,1458374
2025-10,2026_FIFA_World_Cup,1448820
2025-10,Daniel_Naroditsky,1436294
2025-10,Kantara_(2022_film),1393175
2025-10,Ted_Bundy,1391437
2025-10,Thamma,1391379
2025-10,Taylor_Swift,1382023
2025-10,Dude_(2025_film),1358674
2025-11,Google_Chrome,9431850
2025-11,Zohran_Mamdani,9290674
2025-11,.xxx,7134501
2025-11,Dharmendra,4648481
2025-11,Deaths_in_2025,4224623
2025-11,ChatGPT,3629731
2025-11,James_A._Garfield,3516412
2025-11,Pluribus_(TV_series),3497967
2025-11,Rama_Duwaji,3124207
2025-11,Frankenstein_(2025_film),3087092
2025-11,1989_Tiananmen_Square_protests_and_massacre,2870989
2025-11,Stranger_Things_season_5,2857609
2025-11,6-7_(meme),2721779
2025-11,2025_Bihar_Legislative_Assembly_election,2561722
2025-11,Mira_Nair,2499063
2025-11,Stranger_Things,2493441
2025-11,Jeffrey_Epstein,2282746
2025-11,Fuck,2279833
2025-11,Ed_Gein,2233313
2025-11,Wicked:_For_Good,2187439
2025-11,Dick_Cheney,2164624
2025-11,2025_New_York_City_mayoral_election,2138900
2025-11,2026_FIFA_World_Cup_qualification,2135784
2025-11,2026_FIFA_World_Cup,2130885
2025-11,Mahmood_Mamdani,2010818
2025-11,Predator:_Badlands,1992139
2025-11,It_–_Welcome_to_Derry,1980830
2025-11,2026_FIFA_World_Cup_qualification_(UEFA),1891863
2025-11,1xBet,1827363
2025-11,Bruce_Lee,1807936
2025-11,Millie_Bobby_Brown,1794463
2025-11,Miss_Universe_2025,1702413
2025-11,Marshawn_Kneeland,1679746
2025-11,Chester_A._Arthur,1606091
2025-11,Jeffrey_Epstein_client_list,1585924
2025-11,Survivor_Series:_WarGames_(2025),1582794
2025-11,Cynthia_Erivo,1555173
2025-11,YouTube,1550562
2025-11,Jacob_Elordi,1541453
2025-11,The_Beast_in_Me_(TV_series),1522019
2025-11,Frankenstein,1509023
2025-11,Donald_Trump,1506278
2025-11,Ariana_Grande,1463396
2025-11,Charles_J._Guiteau,1426083
2025-11,XXX_(film_series),1405051
2025-11,Dancing_with_the_Stars_(American_TV_series)_season_34,1354984
2025-11,Wicked_(2024_film),1304703
2025-11,Sydney_Sweeney,1299200
2025-11,Bugonia_(film),1289488
2025-11,Claire_Danes,1288935
2025-12,1989_Tiananmen_Square_protests_and_massacre,24391589
2025-12,Rob_Reiner,12518424
2025-12,.xxx,12446741
2025-12,Dhurandhar,12054828
2025-12,Google_Chrome,7741889
2025-12,Avatar:_Fire_and_Ash,5823543
2025-12,Lists_of_deaths_by_year,4677720
2025-12,Stranger_Things_season_5,3900366
2025-12,Bruce_Lee,3693030
2025-12,Stranger_Things,3432239
2025-12,Wake_Up_Dead_Man,3393912
2025-12,Pluribus_(TV_series),3171862
2025-12,ChatGPT,3151977
2025-12,Jeffrey_Epstein,2978873
2025-12,2026_FIFA_World_Cup,2908453
2025-12,Heated_Rivalry,2751352
2025-12,Rehman_Dakait,2693522
2025-12,Philip_Rivers,2656241
2025-12,Brigitte_Bardot,2567008
2025-12,Anthony_Joshua,2546036
2025-12,It_–_Welcome_to_Derry,2514111
2025-12,Marty_Supreme,2415202
2025-12,6-7_meme,2313896
2025-12,Sean_Combs,2270805
2025-12,Millie_Bobby_Brown,2269047
2025-12,Zootopia_2,2185164
2025-12,James_Ransone,2153984
2025-12,List_of_highest-grossing_Indian_films,2063864
2025-12,"Neatsville,_Kentucky",2015304
2025-12,2026_PDC_World_Darts_Championship,1973107
2025-12,2025_Bondi_Beach_shooting,1972090
2025-12,Tracy_Reiner,1857037
2025-12,One_Battle_After_Another,1851239
2025-12,List_of_most-visited_websites,1746942
2025-12,Epstein_files,1717298
2025-12,Josh_O'Connor,1694124
2025-12,Dick_Van_Dyke,1623761
2025-12,Sara_Arjun,1604266
2025-12,Macaulay_Culkin,1550379
2025-12,Greg_Biffle,1522770
2025-12,Avatar_(2009_film),1520489
2025-12,Penny_Marshall,1512348
2025-12,YouTube,1511067
2025-12,Jake_Paul,1503034
2025-12,Queen_Victoria,1500074
2025-12,List_of_Stranger_Things_episodes,1466295
2025-12,Cassie_Ventura,1463460
2025-12,Aditya_Dhar,1438771
2025-12,Lando_Norris,1436319
2025-12,Avatar:_The_Way_of_Water,1432859
2026-01,1989_Tiananmen_Square_protests_and_massacre,6911459
