month,prev,curr,total_clicks
2025-09,Charlie_Kirk,Erika_Kirk,3288112
2025-09,Charlie_Kirk,Assassination_of_Charlie_Kirk,3285996
2025-09,Main_Page,Deaths_in_2025,1176607
2025-09,Charlie_Kirk,Turning_Point_USA,672247
2025-09,Robert_Redford,James_Redford_(filmmaker),522281
2025-09,Robert_Redford,Lola_Van_Wagenen,488421
2025-09,"Katharine,_Duchess_of_Kent","Prince_Edward,_Duke_of_Kent",453799
2025-09,Melissa_Hortman,2025_shootings_of_Minnesota_legislators,435737
2025-09,Erika_Kirk,Charlie_Kirk,429935
2025-09,Groypers,Nick_Fuentes,415994
2025-09,Robert_Redford,Robert_Redford_filmography,370351
2025-09,Mae_Martin,Parvati_Shallow,359400
2025-09,Turning_Point_USA,Bill_Montgomery_(activist),357610
2025-09,Robert_Redford,Amy_Redford,354155
2025-09,Charlie_Sheen,Martin_Sheen,343634
2025-09,Charlie_Kirk,Harper_College,306059
2025-09,The_Smashing_Machine_(2025_film),Mark_Kerr_(fighter),280776
2025-09,Main_Page,Wikipedia,273971
2025-09,Charlie_Sheen,Brooke_Mueller,263936
2025-09,One_Battle_After_Another,Paul_Thomas_Anderson,248503
2025-09,Benjamin_Guinness,"Arthur_Guinness,_1st_Baron_Ardilaun",240007
2025-09,One_Battle_After_Another,Chase_Infiniti,234861
2025-09,The_Ba***ds_of_Bollywood,Sahher_Bambba,231123
2025-09,Keanu_Reeves,Alexandra_Grant,228624
2025-09,Arthur_Guinness,Arthur_Guinness_II,227811
2025-09,Lists_of_deaths_by_year,Deaths_in_2025,227262
2025-09,One_Battle_After_Another,Vineland,215754
2025-09,Charlie_Kirk,Great_Replacement_conspiracy_theory,210893
2025-09,Amanda_Knox,Murder_of_Meredith_Kercher,209088
2025-09,Nick_Fuentes,Groypers,205505
2025-09,The_Ba***ds_of_Bollywood,Lakshya_Lalwani,204724
2025-09,Giorgio_Armani,Sergio_Galeotti,202466
2025-09,Charlie_Kirk,Turning_Point_Action,200930
2025-09,Wrestlepalooza_(2025),NXT_No_Mercy_(2025),197250
2025-09,Tyler_Robinson,Assassination_of_Charlie_Kirk,190232
2025-09,Charlie_Kirk,Trumpism,187441
2025-09,The_Long_Walk_(2025_film),Cooper_Hoffman,182829
2025-09,The_Ba***ds_of_Bollywood,Anya_Singh,179202
2025-09,Charlie_Sheen,Denise_Richards,179037
