month,curr,total_clicks
2025-09,Charlie_Kirk,30669280
2025-09,Robert_Redford,3930966
2025-09,Erika_Kirk,3670296
2025-09,Killing_of_Iryna_Zarutska,2946722
2025-09,Assassination_of_Charlie_Kirk,2704379
2025-09,Lokah_Chapter_1:_Chandra,2212367
2025-09,XXX_(2002_film),2056744
2025-09,D4vd,1882664
2025-09,Groypers,1875326
2025-09,1xBet,1815450
2025-09,One_Battle_After_Another,1787586
2025-09,Ed_Gein,1736162
2025-09,Charlie_Sheen,1578339
2025-09,Zubeen_Garg,1566269
2025-09,Ricky_Hatton,1492464
2025-09,Weapons_(2025_film),1434986
2025-09,Kash_Patel,1426689
2025-09,The_Conjuring:_Last_Rites,1424880
2025-09,Carlo_Acutis,1413718
2025-09,Turning_Point_USA,1347221
2025-09,6-7_(meme),1344979
2025-09,Terence_Crawford,1330053
2025-09,Alien:_Earth,1288374
2025-09,Wednesday_(TV_series),1243053
2025-09,.xxx,1238021
2025-09,The_Long_Walk_(2025_film),1229528
2025-09,KPop_Demon_Hunters,1211674
2025-09,The_Summer_I_Turned_Pretty_(TV_series),1188129
2025-09,They_Call_Him_OG,1153427
2025-09,Nick_Fuentes,1141318
2025-10,Ed_Gein,20339579
2025-10,Diane_Keaton,6788615
2025-10,Kantara:_Chapter_1,5308101
2025-10,Monster:_The_Ed_Gein_Story,3356375
2025-10,6-7_(meme),3329023
2025-10,XXX_(2002_film),2442980
2025-10,.xxx,2437289
2025-10,Ian_Watkins_(Lostprophets_singer),2415319
2025-10,Government_shutdowns_in_the_United_States,2387085
2025-10,Richard_Speck,2336400
2025-10,Jane_Goodall,2146802
2025-10,Ilse_Koch,2096849
2025-10,One_Battle_After_Another,1823823
2025-10,Shohei_Ohtani,1696689
2025-10,D'Angelo,1521669
2025-10,Zohran_Mamdani,1461969
2025-10,Diwali,1442563
2025-10,Anthony_Perkins,1438091
2025-10,Virginia_Giuffre,1409112
2025-10,XXX_(film_series),1381483
2025-10,1xBet,1373065
2025-10,Mae_Martin,1337612
2025-10,A_House_of_Dynamite,1320570
2025-10,John_Wayne_Gacy,1261081
2025-10,Ace_Frehley,1251583
2025-10,Dennis_Rader,1247492
2025-10,Trey_Yesavage,1209665
2025-10,Bad_Bunny,1188062
2025-10,ChatGPT,1174260
2025-10,Dude_(2025_film),1145949
2025-11,Zohran_Mamdani,7065489
2025-11,.xxx,6144234
2025-11,Dharmendra,4055335
2025-11,Pluribus_(TV_series),2746188
2025-11,Frankenstein_(2025_film),2332398
2025-11,6-7_(meme),2303815
2025-11,James_A._Garfield,2282849
2025-11,2025_Bihar_Legislative_Assembly_election,2064756
2025-11,Stranger_Things_season_5,2027501
2025-11,1xBet,1728640
2025-11,Jeffrey_Epstein,1643239
2025-11,Dick_Cheney,1639423
2025-11,Stranger_Things,1602168
2025-11,Ed_Gein,1589266
2025-11,Marshawn_Kneeland,1486124
2025-11,Predator:_Badlands,1453480
2025-11,It_–_Welcome_to_Derry,1444411
2025-11,Wicked:_For_Good,1442034
2025-11,Jeffrey_Epstein_client_list,1388365
2025-11,2026_FIFA_World_Cup,1371732
2025-11,Miss_Universe_2025,1290805
2025-11,2025_New_York_City_mayoral_election,1270895
2025-11,The_Beast_in_Me_(TV_series),1251967
2025-11,Rama_Duwaji,1243595
2025-11,XXX_(film_series),1193234
2025-11,Millie_Bobby_Brown,1157090
2025-11,Cynthia_Erivo,1133588
2025-11,Survivor_Series:_WarGames_(2025),1060737
2025-11,Dispatch_(video_game),1049996
2025-11,All_Her_Fault,1030135
2025-12,.xxx,10651484
2025-12,Dhurandhar,10167210
2025-12,Rob_Reiner,9850470
2025-12,1989_Tiananmen_Square_protests_and_massacre,4246959
2025-12,Avatar:_Fire_and_Ash,4073539
2025-12,Stranger_Things_season_5,2581853
2025-12,Wake_Up_Dead_Man,2349502
2025-12,Pluribus_(TV_series),2324138
2025-12,Philip_Rivers,2212353
2025-12,Jeffrey_Epstein,2211020
2025-12,Stranger_Things,2163214
2025-12,Heated_Rivalry,2099349
2025-12,Rehman_Dakait,1977958
2025-12,Anthony_Joshua,1954526
2025-12,Brigitte_Bardot,1920074
2025-12,6-7_meme,1914406
2025-12,2026_FIFA_World_Cup,1799799
2025-12,Marty_Supreme,1780184
2025-12,James_Ransone,1775266
2025-12,It_–_Welcome_to_Derry,1742806
2025-12,Epstein_files,1527768
2025-12,Sean_Combs,1491128
2025-12,List_of_highest-grossing_Indian_films,1473149
2025-12,Millie_Bobby_Brown,1402008
2025-12,One_Battle_After_Another,1357525
2025-12,Mohit_Sharma_(soldier),1316923
2025-12,2025_Bondi_Beach_shooting,1260211
2025-12,Tylor_Chase,1200016
2025-12,Greg_Biffle,1198118
2025-12,Zootopia_2,1188552
2026-01,.xxx,4937038
2026-01,Catherine_O'Hara,4728563
2026-01,Nicolás_Maduro,3974908
2026-01,Dhurandhar,3742256
2026-01,Ajit_Pawar,2895472
2026-01,Border_2,2597348
2026-01,Greenland,2594173
2026-01,Fernando_Mendoza,2361812
2026-01,Killing_of_Renée_Good,2352963
2026-01,Avatar:_Fire_and_Ash,2275463
2026-01,Venezuela,2259495
2026-01,Donald_Trump,2198055
2026-01,The_Rip_(film),2046169
2026-01,Anna's_Archive,2035268
2026-01,Stranger_Things,1978751
2026-01,Marty_Supreme,1875022
2026-01,Heated_Rivalry,1873221
2026-01,One_Battle_After_Another,1850648
2026-01,List_of_highest-grossing_Indian_films,1834218
2026-01,The_RajaSaab,1799120
2026-01,His_&_Hers_(2026_TV_series),1798488
2026-01,Curt_Cignetti,1751232
2026-01,Killing_of_Alex_Pretti,1725560
2026-01,Gregory_Bovino,1682157
2026-01,Sinners_(2025_film),1674903
2026-01,Royal_Rumble_(2026),1575901
2026-01,The_Housemaid_(2025_film),1508972
2026-01,2026_Brihanmumbai_Municipal_Corporation_election,1498863
2026-01,Liam_Rosenior,1475969
2026-01,Pornhub,1362435
2026-02,Jeffrey_Epstein,9355859
2026-02,Epstein_files,7993056
2026-02,.xxx,6716572
2026-02,Alysa_Liu,4265129
2026-02,Bad_Bunny,3903923
2026-02,Eric_Dane,3864762
2026-02,James_Van_Der_Beek,3847865
2026-02,Ilia_Malinin,3274843
2026-02,Savannah_Guthrie,3115372
2026-02,Eileen_Gu,3098992
2026-02,Johnny_Gaudreau,2617311
2026-02,Robert_Duvall,2491323
2026-02,2026_Winter_Olympics,2479158
2026-02,A_Knight_of_the_Seven_Kingdoms_(TV_series),2423457
2026-02,Wuthering_Heights,2313913
2026-02,Ghislaine_Maxwell,1955543
2026-02,Nemesio_Oseguera_Cervantes,1875021
2026-02,Ali_Khamenei,1825130
2026-02,Lindsey_Vonn,1791735
2026-02,Virginia_Giuffre,1791279
2026-02,List_of_people_named_in_the_Epstein_files,1749232
2026-02,Iron_Lung_(film),1718220
2026-02,List_of_Super_Bowl_halftime_shows,1700647
2026-02,Lucy_Letby,1639455
2026-02,Disappearance_of_Nancy_Guthrie,1635764
2026-02,Dhurandhar,1592812
2026-02,The_Housemaid_(2025_film),1580682
2026-02,Jack_Hughes,1575962
2026-02,Wuthering_Heights_(2026_film),1557944
2026-02,Pam_Bondi,1455628
